Vehicle_Type,Year,Price,Mileage
Honda Civic Sedan LX Sedan CVT Rear Camera Bluetooth Aux & USB Inputs,2017,$14015.00, 43649
Honda Civic LX FWD Rear Camera Bluetooth USB Input New Tires,2017,$14230.00, 28839
Honda Civic LX FWD Rear Camera Bluetooth USB Input Keyless Entry,2017,$14081.00, 37254
Honda Civic LX Honda Sensing FWD Rear Camera Bluetooth Aux & U,2016,$14698.00, 14703
Honda Civic HIBRID SEDAN,2005,$3495.00, 143099
Honda Civic LX,2012,$9964.00, 81236
Honda Civic Sport,2018,$19498.00, 17382
Honda Civic EX-L 1.5T FWD,2018,$18999.00, 20463
Honda Civic LX FWD Rear Camera Bluetooth Aux & USB Input,2019,$16789.00, 9609
Honda Civic EX FWD Sunroof 16" Alloys Rear Camera Satellite Radio,2017,$15782.00, 24001
Honda Civic LX FWD Rear Camera Bluetooth Aux & USB Inputs New Tires,2017,$14214.00, 29996
Honda Civic LX FWD Rear Camera Bluetooth Aux & USB Inputs,2017,$13851.00, 47224
Honda Civic LX FWD Rear Camera Bluetooth Aux & USB Inputs New Tires,2016,$12958.00, 52991
Honda Civic LX FWD Rear Camera Bluetooth Aux & USB Inputs New Tires,2017,$13898.00, 42168
Honda Civic LX FWD Rear Camera Bluetooth Aux & USB Inputs,2017,$14978.00, 18169
Honda Civic Si,2017,$21765.00, 31746
Honda Civic 4dr CVT LX,2016,$14995.00, 41959
Honda Civic LX,2017,$15000.00, 36087
Honda Civic LX,2017,$14500.00, 43165
Honda Civic LX,2017,$15000.00, 35887
Honda Civic LX,2017,$15000.00, 51807
Honda Civic Sport,2017,$17500.00, 39251
Honda Civic Si Coupe ,2018,$22995.00, 20201
Honda Civic EX-L,2013,$11700.00, 94510
Honda Civic EX,2006,$3500.00, 257820
Honda Civic LX 4dr Sedan 5A,2010,$8900.00, 107017
Honda Civic EX-T 1.5T Coupe FWD,2017,$16999.00, 32088
Honda Civic EX-L 1.5T FWD,2017,$17499.00, 17252
Honda Civic Sport 1.5T Hatchback FWD,2017,$17999.00, 39339
Honda Civic LX,2017,$16300.00, 48559
Honda Civic Ex,2018,$17901.00, 25584
Honda Civic Lx,2013,$9991.00, 114709
Honda Civic EX-L,2018,$20700.00, 27303
Honda Civic LX,2019,$19688.00, 6547
Honda Civic Touring,2018,$22399.00, 40578
Honda Civic ,2016,$15750.00, 69975
Honda Civic Sedan 4dr Automatic LX,2008,$3877.00, 139269
Honda Civic Special Edition,1991,$9999.00, 24989
Honda Civic 25X,1989,$11900.00, 56413
Honda Civic EX,2010,$8900.00, 84877
Honda Civic EX,2003,$4900.00, 154577
Honda Civic EX-L,2017,$22995.00, 10777
